TEI,TEO,TCI,TCO,kW,TEA,TCA,TRE,TRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,TO_sump,PO_net,label,fault_name,fault_short,is_fault
60.23,50.22,85.33,94.78,81.96,8.0,4.1,42.1,98.7,8.2,46.8,4.8,124.0,25.0,114.0,104.8,1,Normal,Normal,0
60.23,50.27,85.33,94.74,82.2,8.1,3.9,42.0,98.5,8.0,46.8,4.7,124.2,25.5,114.2,104.3,1,Normal,Normal,0
60.23,50.27,85.33,94.78,82.25,8.3,3.9,42.0,98.5,8.2,46.8,4.8,124.0,25.5,114.0,106.2,1,Normal,Normal,0
60.27,50.31,85.33,94.74,82.14,8.0,4.1,42.1,98.7,8.2,46.8,4.7,123.7,25.5,114.2,105.5,1,Normal,Normal,0
60.23,50.31,85.33,94.74,82.54,8.3,4.1,42.0,98.5,8.0,46.8,4.7,124.2,25.5,114.5,103.9,1,Normal,Normal,0
60.27,50.31,85.33,94.74,82.35,8.1,4.1,42.0,98.5,8.0,46.8,4.8,124.2,25.7,114.5,102.9,1,Normal,Normal,0
60.27,50.31,85.33,94.74,82.33,8.1,4.1,42.0,98.7,8.5,46.8,4.8,124.0,25.0,114.5,105.5,1,Normal,Normal,0
60.27,50.31,85.33,94.78,82.7,8.1,4.2,42.0,99.0,8.5,46.8,4.7,124.0,25.2,114.2,105.5,1,Normal,Normal,0
60.27,50.31,85.37,94.78,82.19,8.3,4.1,42.0,98.7,8.0,46.8,4.8,124.0,25.3,114.5,104.2,1,Normal,Normal,0
60.31,50.31,85.37,94.78,82.47,8.0,3.9,42.1,98.7,8.0,46.8,4.7,124.2,25.3,114.5,103.5,1,Normal,Normal,0
60.31,50.35,85.41,94.83,82.55,8.0,4.1,42.1,98.7,8.3,46.8,4.7,124.2,25.5,114.7,104.8,1,Normal,Normal,0
60.31,50.35,85.37,94.83,82.47,8.0,4.2,42.1,99.0,8.5,46.8,4.8,124.0,25.0,114.7,105.5,1,Normal,Normal,0
60.31,50.35,85.37,94.83,82.5,8.2,4.1,42.1,98.7,8.3,46.8,4.8,124.2,25.2,114.7,105.5,1,Normal,Normal,0
60.27,50.35,85.37,94.83,82.69,8.1,4.4,42.0,99.0,8.3,46.8,5.0,124.2,25.2,114.7,105.0,1,Normal,Normal,0
60.31,50.39,85.37,94.78,82.5,8.1,4.4,42.0,99.0,8.3,46.8,4.8,124.0,25.2,114.7,104.5,1,Normal,Normal,0
60.31,50.35,85.37,94.83,82.65,8.2,4.2,42.1,99.0,8.5,46.8,4.7,124.0,25.2,114.9,106.7,1,Normal,Normal,0
60.31,50.35,85.41,94.87,82.54,8.3,4.4,42.0,99.2,8.5,46.8,4.7,124.0,24.8,114.9,106.0,1,Normal,Normal,0
60.35,50.35,85.37,94.87,82.51,8.5,4.2,41.8,99.0,8.3,46.8,4.8,124.0,25.2,114.7,104.8,1,Normal,Normal,0
60.35,50.35,85.37,94.87,82.5,8.2,4.2,42.1,99.0,8.7,46.8,4.8,124.2,25.0,115.1,105.5,1,Normal,Normal,0
60.31,50.35,85.37,94.87,82.74,8.1,4.6,42.0,99.2,8.7,46.8,4.8,124.2,25.0,114.9,106.8,1,Normal,Normal,0
60.31,50.39,85.37,94.83,82.49,8.2,4.7,42.1,99.5,8.8,46.8,4.8,124.2,24.7,114.9,102.4,1,Normal,Normal,0
60.35,50.39,85.33,94.83,82.77,8.1,4.9,42.0,99.7,9.2,46.6,4.8,124.2,24.3,114.9,105.0,1,Normal,Normal,0
60.31,50.35,85.37,94.83,82.76,8.3,4.9,42.0,99.5,9.2,46.8,4.7,124.2,24.7,114.9,105.0,1,Normal,Normal,0
60.31,50.35,85.37,94.83,82.67,8.3,4.9,42.0,99.7,9.2,46.8,4.8,124.2,24.5,115.1,102.8,1,Normal,Normal,0
60.35,50.35,85.37,94.87,82.68,8.1,5.4,42.0,100.0,9.2,46.8,4.8,124.2,24.0,114.9,103.8,1,Normal,Normal,0
60.35,50.35,85.37,94.87,82.94,8.1,5.2,42.0,100.0,9.5,46.8,4.8,124.2,24.2,115.1,105.8,1,Normal,Normal,0
60.35,50.39,85.37,94.87,82.83,8.0,5.6,42.1,100.2,9.7,46.8,4.8,124.5,23.6,114.9,104.3,1,Normal,Normal,0
60.35,50.39,85.37,94.87,82.76,8.2,5.8,42.1,100.4,9.9,46.6,4.6,124.5,24.1,115.3,105.5,1,Normal,Normal,0
60.35,50.35,85.33,94.87,82.78,8.1,5.8,42.0,100.4,9.9,46.8,4.8,124.5,23.8,115.1,105.0,1,Normal,Normal,0
60.35,50.35,85.37,94.83,82.85,8.5,5.9,41.8,100.7,9.9,46.8,5.0,124.2,24.1,115.1,104.8,1,Normal,Normal,0
60.35,50.39,85.37,94.87,82.7,8.1,5.6,42.0,100.4,9.9,46.8,4.8,124.2,24.1,115.3,106.0,1,Normal,Normal,0
60.35,50.39,85.37,94.87,82.88,8.2,5.9,42.0,100.7,10.2,46.8,4.7,124.2,23.5,115.1,106.3,1,Normal,Normal,0
60.39,50.39,85.41,94.87,82.79,8.3,5.9,42.0,100.7,9.9,46.8,4.8,124.5,23.5,115.3,104.0,1,Normal,Normal,0
60.39,50.39,85.41,94.87,82.75,8.0,5.8,42.1,100.4,10.0,46.8,4.7,124.5,23.5,115.6,103.9,1,Normal,Normal,0
60.39,50.39,85.41,94.87,83.13,8.3,5.6,42.1,100.4,10.0,46.8,4.8,124.2,23.8,115.6,103.9,1,Normal,Normal,0
60.39,50.39,85.41,94.91,82.91,8.3,5.4,42.0,100.4,9.9,46.8,4.7,124.5,24.1,115.6,104.3,1,Normal,Normal,0
60.39,50.39,85.41,94.91,83.03,8.3,5.9,42.0,100.7,9.9,46.8,4.8,124.2,23.5,115.3,106.5,1,Normal,Normal,0
60.43,50.39,85.41,94.91,83.14,8.3,5.7,42.0,100.7,9.9,46.8,4.8,124.2,23.8,115.3,105.9,1,Normal,Normal,0
60.43,50.43,85.45,94.91,82.94,8.3,5.9,42.0,100.7,10.0,46.8,4.8,124.2,23.8,115.3,104.0,1,Normal,Normal,0
60.43,50.43,85.41,94.95,82.88,8.3,5.4,42.0,100.2,9.7,46.8,4.8,124.2,24.1,115.3,104.0,1,Normal,Normal,0
60.43,50.43,85.41,94.91,83.13,8.2,5.4,42.0,100.4,9.9,46.8,4.7,124.5,24.1,115.6,105.0,1,Normal,Normal,0
60.43,50.43,85.41,94.95,82.98,8.1,5.6,42.0,100.4,9.9,46.8,4.8,124.5,24.3,115.6,105.3,1,Normal,Normal,0
60.43,50.43,85.41,94.91,82.96,8.2,6.1,42.1,100.7,9.7,46.8,4.8,124.5,23.8,115.7,106.8,1,Normal,Normal,0
60.48,50.43,85.41,94.91,83.28,7.8,5.7,42.0,100.4,9.7,46.8,4.5,124.2,23.8,115.6,105.2,1,Normal,Normal,0
60.43,50.47,85.45,94.95,83.01,8.3,5.7,42.0,100.7,9.9,46.8,4.7,124.5,24.0,115.6,103.0,1,Normal,Normal,0
60.48,50.43,85.45,94.99,82.98,8.3,5.7,42.0,100.7,9.9,46.8,4.7,124.5,24.1,115.6,103.3,1,Normal,Normal,0
60.48,50.47,85.49,94.99,83.17,8.4,5.6,42.0,100.9,10.2,46.8,4.8,124.5,23.6,115.6,105.4,1,Normal,Normal,0
60.43,50.47,85.49,94.99,83.09,8.3,5.6,42.0,100.4,9.7,46.8,4.8,124.5,24.1,115.7,103.9,1,Normal,Normal,0
60.48,50.47,85.49,94.99,83.08,8.5,5.9,41.8,100.7,10.2,46.8,4.7,124.5,23.8,115.7,105.5,1,Normal,Normal,0
60.48,50.51,85.53,94.99,83.39,8.2,5.7,42.1,100.7,10.0,46.8,4.7,124.5,24.0,116.0,104.0,1,Normal,Normal,0
60.48,50.51,85.49,94.99,83.2,8.3,5.6,42.0,100.4,10.0,46.8,4.8,124.7,24.1,115.7,102.8,1,Normal,Normal,0
60.48,50.47,85.45,94.99,83.15,8.0,5.9,42.1,100.7,10.0,46.8,4.7,124.7,23.8,115.7,105.5,1,Normal,Normal,0
60.48,50.47,85.49,94.99,83.64,8.2,5.9,42.1,100.7,10.2,46.8,4.8,124.7,23.8,116.0,105.9,1,Normal,Normal,0
60.48,50.43,85.49,94.99,83.44,8.2,5.9,42.0,100.9,10.0,46.8,4.7,124.7,23.8,115.7,105.0,1,Normal,Normal,0
60.48,50.47,85.53,95.07,83.38,8.2,6.1,42.1,100.9,10.0,46.8,4.8,124.5,23.6,116.0,105.4,1,Normal,Normal,0
60.48,50.47,85.53,95.11,83.75,8.2,5.9,42.1,100.9,9.7,46.8,4.8,124.5,24.3,115.7,105.0,1,Normal,Normal,0
60.52,50.47,85.53,95.07,83.54,8.3,5.4,42.0,100.4,10.0,46.8,4.8,124.2,24.1,116.0,104.8,1,Normal,Normal,0
60.48,50.47,85.53,95.07,83.59,8.3,5.9,42.0,100.7,9.7,46.8,4.7,124.5,23.8,116.0,106.5,1,Normal,Normal,0
60.48,50.43,85.49,95.07,83.73,8.3,5.6,42.0,100.4,9.9,46.8,4.8,124.7,24.0,115.7,103.8,1,Normal,Normal,0
60.48,50.43,85.49,95.03,83.38,8.1,5.7,42.0,100.7,10.0,46.8,4.8,124.7,23.8,116.2,105.3,1,Normal,Normal,0
60.48,50.43,85.49,95.03,83.47,8.3,5.7,42.0,100.7,10.0,46.8,4.7,124.7,24.0,116.2,106.9,1,Normal,Normal,0
60.48,50.39,85.49,95.03,83.82,8.2,5.9,42.1,100.7,10.0,46.8,4.8,124.7,23.8,116.0,105.0,1,Normal,Normal,0
60.48,50.43,85.53,95.07,83.66,8.3,5.6,41.8,100.7,9.9,46.8,4.8,124.7,24.0,116.2,104.4,1,Normal,Normal,0
60.48,50.43,85.53,95.07,83.65,8.3,6.1,42.0,100.9,10.0,46.8,5.0,124.7,23.6,116.2,106.9,1,Normal,Normal,0
60.48,50.43,85.53,95.07,83.8,8.1,6.1,42.0,100.9,10.0,46.8,4.7,124.5,24.0,116.2,105.0,1,Normal,Normal,0
60.48,50.43,85.45,95.07,83.52,8.1,5.9,42.0,100.4,9.6,46.8,4.8,124.7,24.3,116.2,102.0,1,Normal,Normal,0
60.43,50.39,85.49,95.07,83.54,8.3,5.9,42.0,100.9,9.9,46.8,4.8,124.5,23.8,116.2,105.0,1,Normal,Normal,0
60.48,50.43,85.49,95.07,84.06,8.3,5.5,42.0,100.7,10.2,46.8,4.8,124.7,23.6,116.2,105.5,1,Normal,Normal,0
60.48,50.43,85.49,95.07,83.53,8.3,5.7,42.0,100.4,9.6,46.8,4.8,124.7,24.3,116.4,105.0,1,Normal,Normal,0
60.48,50.43,85.49,95.11,83.7,8.3,6.1,41.8,100.9,9.6,46.8,4.8,124.7,23.8,116.2,103.3,1,Normal,Normal,0
60.48,50.43,85.49,95.07,83.93,8.3,5.7,41.8,100.7,10.0,46.8,4.8,124.5,24.0,116.4,105.8,1,Normal,Normal,0
60.48,50.43,85.49,95.03,83.7,8.3,5.4,42.0,100.4,9.6,46.8,4.8,124.7,24.3,116.4,105.0,1,Normal,Normal,0
60.48,50.39,85.49,95.07,83.89,8.2,6.1,42.1,100.9,10.0,46.8,4.8,124.7,23.8,116.4,106.5,1,Normal,Normal,0
60.48,50.43,85.45,95.03,84.16,8.0,5.9,42.1,100.9,10.2,46.6,4.6,124.7,24.0,116.4,107.8,1,Normal,Normal,0
60.48,50.39,85.45,95.03,83.86,8.1,5.9,42.0,100.4,9.6,46.8,5.0,124.7,24.3,116.2,106.3,1,Normal,Normal,0
60.48,50.39,85.49,95.07,83.93,8.2,5.7,42.0,100.7,10.2,46.8,4.7,124.7,23.8,116.4,105.5,1,Normal,Normal,0
60.43,50.39,85.49,95.07,84.01,8.3,5.7,42.0,100.7,10.2,46.8,4.8,124.7,23.8,116.4,105.7,1,Normal,Normal,0
60.48,50.35,85.49,95.07,83.87,8.3,5.9,42.0,100.7,9.7,46.6,4.8,124.7,24.3,116.4,105.2,1,Normal,Normal,0
60.43,50.39,85.49,95.11,84.07,8.3,5.7,42.0,100.7,10.2,46.8,4.8,124.5,23.8,116.4,106.5,1,Normal,Normal,0
60.43,50.39,85.49,95.07,84.2,8.3,5.7,42.0,100.7,10.2,46.6,4.8,124.5,24.0,116.4,104.7,1,Normal,Normal,0
60.43,50.35,85.45,95.07,83.86,8.1,5.7,42.0,100.7,10.0,46.8,4.8,124.7,24.0,116.4,106.3,1,Normal,Normal,0
60.43,50.35,85.49,95.07,84.06,8.5,6.1,42.0,100.9,9.9,46.8,5.0,124.5,23.6,116.4,106.5,1,Normal,Normal,0
60.43,50.35,85.49,95.07,84.26,8.3,5.7,42.0,100.7,10.2,46.8,5.0,124.7,24.0,116.7,105.4,1,Normal,Normal,0
60.43,50.35,85.45,95.07,83.97,8.1,5.7,42.0,100.7,9.6,46.8,5.0,124.7,24.1,116.4,103.8,1,Normal,Normal,0
60.43,50.35,85.49,95.03,84.18,8.3,5.9,41.8,100.7,9.9,46.8,4.8,124.5,23.8,116.7,106.8,1,Normal,Normal,0
60.39,50.35,85.49,95.07,84.18,8.1,5.9,42.0,100.9,10.0,46.8,4.7,124.5,23.8,116.7,104.9,1,Normal,Normal,0
60.43,50.35,85.45,95.07,84.11,8.3,5.7,42.0,100.7,10.2,46.8,5.0,124.7,23.8,116.7,104.2,1,Normal,Normal,0
60.43,50.35,85.49,95.07,84.2,8.1,5.9,42.0,100.9,10.1,46.8,4.8,124.5,23.6,116.4,107.3,1,Normal,Normal,0
60.43,50.31,85.49,95.07,84.27,8.3,5.7,41.8,100.7,10.2,46.8,4.8,124.5,24.0,116.7,104.9,1,Normal,Normal,0
60.43,50.31,85.49,95.11,84.06,8.1,6.1,42.0,100.9,9.9,46.8,5.0,124.7,23.8,116.7,103.8,1,Normal,Normal,0
60.35,50.31,85.45,95.07,84.12,8.1,5.9,41.8,100.7,9.9,46.8,4.6,124.5,24.0,116.7,106.5,1,Normal,Normal,0
60.39,50.31,85.45,95.11,84.37,8.1,5.7,42.0,100.7,10.2,46.8,4.8,124.7,24.0,116.7,106.5,1,Normal,Normal,0
60.39,50.31,85.49,95.11,84.22,8.1,5.7,42.0,100.7,10.0,46.6,4.6,124.7,23.8,116.9,102.5,1,Normal,Normal,0
60.35,50.27,85.49,95.11,84.45,8.0,5.5,42.0,101.1,10.4,46.8,4.6,124.5,23.6,116.7,106.3,1,Normal,Normal,0
60.39,50.27,85.49,95.11,84.27,8.0,5.9,42.1,100.9,10.2,46.6,4.6,124.7,23.6,116.4,105.5,1,Normal,Normal,0
60.35,50.27,85.49,95.11,84.23,8.1,5.9,42.0,100.9,10.1,46.6,4.6,124.7,23.6,116.7,101.8,1,Normal,Normal,0
60.31,50.27,85.53,95.11,84.26,8.3,5.7,41.8,100.7,9.9,46.6,5.0,124.5,23.8,116.7,105.4,1,Normal,Normal,0
60.31,50.22,85.49,95.11,84.26,8.3,5.9,42.0,100.7,10.2,46.6,4.8,124.7,24.0,116.9,103.4,1,Normal,Normal,0
60.31,50.22,85.49,95.11,84.2,8.1,5.7,42.0,100.7,10.1,46.6,4.8,124.7,23.8,116.9,103.3,1,Normal,Normal,0
60.31,50.22,85.49,95.11,84.32,8.0,5.9,42.1,100.7,9.9,46.6,4.6,124.5,24.0,116.7,106.0,1,Normal,Normal,0
60.31,50.22,85.49,95.15,84.45,8.0,5.9,42.0,100.9,10.2,46.6,4.6,124.7,23.6,116.9,104.7,1,Normal,Normal,0
60.31,50.22,85.49,95.11,84.33,8.2,5.7,41.8,100.7,10.0,46.6,4.6,124.7,24.0,116.9,102.5,1,Normal,Normal,0
60.27,50.22,85.49,95.11,83.03,8.1,5.6,42.0,100.4,9.9,46.6,4.6,124.5,23.8,116.9,99.6,1,Normal,Normal,0
60.27,50.18,85.53,95.11,80.63,7.9,5.8,42.3,101.1,10.6,46.8,4.4,124.7,23.6,116.9,98.8,1,Normal,Normal,0
60.27,50.18,85.9,95.19,76.74,8.5,5.4,41.8,101.6,10.5,46.8,5.0,124.7,23.1,116.9,100.6,1,Normal,Normal,0
60.11,50.27,86.47,95.52,72.64,8.7,4.0,41.6,100.2,9.0,47.0,5.2,125.0,24.8,116.9,100.6,1,Normal,Normal,0
59.74,50.35,86.88,95.73,69.46,7.3,3.8,42.4,99.7,8.6,47.2,4.4,125.0,25.5,116.7,100.3,1,Normal,Normal,0
59.21,50.31,87.33,95.81,65.16,7.5,3.2,42.3,98.7,7.5,47.2,4.9,125.5,26.5,116.9,104.0,1,Normal,Normal,0
58.84,50.22,87.58,95.73,63.52,8.5,3.7,42.1,98.5,6.6,47.3,5.3,125.5,27.5,116.9,106.0,1,Normal,Normal,0
58.55,50.35,87.7,95.56,64.73,8.5,3.6,42.4,98.2,6.8,47.8,5.4,126.3,28.1,116.9,105.9,1,Normal,Normal,0
58.18,50.43,87.7,95.28,65.24,8.1,4.1,42.3,98.2,6.6,47.7,5.3,126.6,28.6,116.7,102.7,1,Normal,Normal,0
57.94,50.43,87.62,95.03,65.77,7.7,3.8,42.4,97.7,6.5,47.7,5.1,127.1,29.4,116.7,105.4,1,Normal,Normal,0
57.86,50.39,87.46,94.83,65.39,8.0,4.0,42.3,97.7,6.7,47.7,5.4,127.4,29.7,116.9,102.7,1,Normal,Normal,0
57.73,50.31,87.33,94.58,65.6,7.7,3.7,42.3,97.2,6.9,47.5,5.2,127.4,30.5,116.9,104.7,1,Normal,Normal,0
57.57,50.27,87.17,94.38,65.56,7.7,3.8,42.1,97.2,6.7,47.3,5.2,127.4,30.2,116.9,102.7,1,Normal,Normal,0
57.45,50.14,87.01,94.21,65.52,7.5,4.3,42.1,97.2,6.5,47.3,5.2,127.4,30.5,116.9,104.4,1,Normal,Normal,0
57.24,50.02,86.84,94.05,65.57,7.4,4.2,42.1,97.2,6.7,47.2,4.9,127.4,30.2,116.9,105.9,1,Normal,Normal,0
57.08,49.86,86.68,93.88,65.03,7.1,4.0,42.0,97.0,6.6,47.2,4.9,127.7,30.7,116.9,104.9,1,Normal,Normal,0
56.91,49.73,86.52,93.76,61.39,6.1,3.1,42.9,95.7,5.8,46.8,3.9,127.4,31.7,116.9,103.2,1,Normal,Normal,0
56.79,49.57,86.39,93.56,60.95,6.0,2.2,43.3,94.5,4.9,47.2,3.7,127.4,32.9,116.9,97.8,1,Normal,Normal,0
56.55,49.53,86.27,93.27,53.1,7.6,3.0,42.0,94.0,3.7,47.3,5.2,127.4,33.6,116.9,101.9,1,Normal,Normal,0
56.38,49.61,86.11,92.9,52.38,8.2,2.5,42.1,93.0,3.4,47.7,5.6,127.4,34.4,117.1,103.0,1,Normal,Normal,0
56.26,49.77,85.9,92.37,52.76,8.6,2.9,42.1,92.7,4.0,48.0,6.0,127.7,35.0,117.1,103.2,1,Normal,Normal,0
56.18,50.02,85.57,91.8,54.09,7.8,3.3,42.6,92.7,4.2,48.2,5.8,127.9,35.5,117.1,101.2,1,Normal,Normal,0
56.18,50.14,85.33,91.43,54.61,8.2,3.6,42.6,92.7,4.4,48.3,5.5,128.5,35.5,117.1,101.2,1,Normal,Normal,0
56.26,50.35,85.08,91.06,54.65,8.3,3.6,42.6,93.0,5.2,48.7,6.1,128.5,35.7,116.9,102.2,1,Normal,Normal,0
56.38,50.51,84.84,90.77,55.54,8.2,3.4,42.6,93.0,5.3,48.5,5.9,128.7,35.7,117.1,101.2,1,Normal,Normal,0
56.5,50.59,84.71,90.65,55.95,8.3,3.6,42.6,93.2,5.9,48.5,5.7,129.0,35.5,117.1,127.0,1,Normal,Normal,0
56.55,50.63,84.63,90.53,55.94,8.4,3.9,42.4,93.7,6.2,48.5,6.1,129.0,35.6,117.1,101.2,1,Normal,Normal,0
56.67,50.72,84.55,90.44,56.61,8.0,3.3,42.6,93.2,6.3,48.3,5.7,129.3,35.8,117.4,101.9,1,Normal,Normal,0
56.71,50.72,84.51,90.44,56.9,8.0,3.1,42.6,93.2,6.2,48.5,6.1,129.3,36.1,117.1,103.4,1,Normal,Normal,0
56.75,50.72,84.47,90.44,56.9,8.2,3.6,42.6,93.5,7.0,48.3,6.1,129.0,35.5,117.1,102.6,1,Normal,Normal,0
56.75,50.68,84.51,90.44,56.98,7.8,3.2,42.8,93.5,6.5,48.5,5.9,129.0,35.5,117.1,102.7,1,Normal,Normal,0
56.79,50.63,84.51,90.49,56.95,7.8,3.4,42.8,93.5,6.7,48.5,5.7,129.0,35.5,117.1,102.4,1,Normal,Normal,0
56.79,50.59,84.55,90.53,57.01,7.6,3.2,42.8,93.7,6.5,48.3,5.7,129.0,35.3,117.1,103.2,1,Normal,Normal,0
56.79,50.59,84.55,90.57,57.04,8.0,3.2,42.6,93.5,6.5,48.3,5.5,128.5,35.2,117.4,77.6,1,Normal,Normal,0
56.75,50.59,84.59,90.61,57.18,7.8,3.2,42.8,93.5,6.5,48.5,5.7,128.7,35.0,117.1,102.2,1,Normal,Normal,0
56.75,50.55,84.67,90.65,57.1,7.8,3.7,42.8,93.7,6.4,48.3,5.7,128.7,35.0,117.4,101.7,1,Normal,Normal,0
56.75,50.55,84.71,90.65,57.17,7.8,3.2,42.8,93.7,6.4,48.5,5.7,128.7,34.8,117.1,102.7,1,Normal,Normal,0
56.71,50.55,84.71,90.69,57.27,7.8,3.5,42.8,94.0,6.4,48.5,5.7,128.7,34.7,117.4,102.6,1,Normal,Normal,0
56.71,50.51,84.76,90.73,57.18,7.5,3.0,42.9,93.7,6.4,48.3,5.4,128.7,35.0,117.4,103.2,1,Normal,Normal,0
56.71,50.51,84.84,90.77,57.23,7.7,3.3,42.9,94.0,7.0,48.5,5.7,128.7,34.7,117.1,103.7,1,Normal,Normal,0
56.71,50.55,84.88,90.81,57.21,7.7,3.3,42.9,94.0,6.7,48.3,5.5,128.7,34.7,117.4,101.6,1,Normal,Normal,0
